movie_id,title,release_date,decade,genre
284053,Thor: Ragnarok,2017-10-02,2010,Comedy
269149,Zootopia,2016-02-11,2010,Comedy
50646,"Crazy, Stupid, Love.",2011-07-29,2010,Comedy
399174,Isle of Dogs,2018-03-23,2010,Comedy
277834,Moana,2016-10-13,2010,Comedy
177572,Big Hero 6,2014-10-24,2010,Comedy
10193,Toy Story 3,2010-06-16,2010,Comedy
567609,Ready or Not,2019-08-21,2010,Comedy
114150,Pitch Perfect,2012-09-28,2010,Comedy
93456,Despicable Me 2,2013-06-26,2010,Comedy
137106,The Lego Movie,2014-02-06,2010,Comedy
37735,Easy A,2010-09-16,2010,Comedy
466282,To All the Boys I've Loved Before,2018-08-17,2010,Comedy
505600,Booksmart,2019-05-24,2010,Comedy
59436,Midnight in Paris,2011-05-11,2010,Comedy
324849,The Lego Batman Movie,2017-02-08,2010,Comedy
301528,Toy Story 4,2019-06-19,2010,Comedy
121986,Frances Ha,2013-05-17,2010,Comedy
38055,Megamind,2010-10-28,2010,Comedy
82690,Wreck-It Ralph,2012-11-01,2010,Comedy
116745,The Secret Life of Walter Mitty,2013-12-18,2010,Comedy
20352,Despicable Me,2010-07-08,2010,Comedy
455207,Crazy Rich Asians,2018-08-15,2010,Comedy
116149,Paddington,2014-11-24,2010,Comedy
246741,What We Do in the Shadows,2014-06-19,2010,Comedy
458423,Mamma Mia! Here We Go Again,2018-07-18,2010,Comedy
508965,Klaus,2019-11-08,2010,Comedy
200727,"Love, Rosie",2014-10-16,2010,Comedy
55721,Bridesmaids,2011-05-13,2010,Comedy
49444,Kung Fu Panda 2,2011-05-25,2010,Comedy
424781,Sorry to Bother You,2018-07-06,2010,Comedy
138832,We're the Millers,2013-08-07,2010,Comedy
45243,The Hangover Part II,2011-05-25,2010,Comedy
157336,Interstellar,2014-11-05,2010,Drama
313369,La La Land,2016-12-01,2010,Drama
244786,Whiplash,2014-10-10,2010,Drama
475557,Joker,2019-10-01,2010,Drama
530385,Midsommar,2019-07-03,2010,Drama
44214,Black Swan,2010-12-03,2010,Drama
84892,The Perks of Being a Wallflower,2012-09-20,2010,Drama
398818,Call Me by Your Name,2017-10-01,2010,Drama
11324,Shutter Island,2010-02-14,2010,Drama
331482,Little Women,2019-12-25,2010,Drama
210577,Gone Girl,2014-10-01,2010,Drama
466272,Once Upon a Time... in Hollywood,2019-07-24,2010,Drama
68718,Django Unchained,2012-12-25,2010,Drama
37799,The Social Network,2010-10-01,2010,Drama
152601,Her,2013-12-18,2010,Drama
329865,Arrival,2016-11-10,2010,Drama
